"livestock","livestockf","sex","age"
86,100,"F",45
50,1,"F",23
100,5,"M",70
0,300,"F",28
20,45,"M",52
5,50,"F",31
20,200,"M",30
100,1,"F",70
3000,800,"M",60
0,NA,"F",30
0,100,"M",35
12,300,"F",40
NA,NA,"M",NA
0,NA,"F",28
10,7,"M",63
0,200,"F",45
NA,1,"F",NA
7,20,"F",22
340,200,"M",68
0,400,"M",36
0,200,"M",30
50,40,"M",44
30,0,"F",75
60,20,"F",41
NA,NA,"F",NA
100,200,"F",60
20,50,"F",25
5,10,"F",50
0,0,"F",38
25,1000,"F",24
340,10,"F",30
10,200,"M",65
0,150,"F",60
50,200,"M",36
100,200,"M",46
0,0,"M",58
0,0,"F",22
200,NA,"F",60
250,200,"M",48
120,150,"M",35
0,0,"F",70
100,1,"F",28
200,0,"M",70
NA,NA,"M",NA
0,100,"M",62
300,1,"F",19
20,12,"F",35
60,200,"M",40
20,50,"M",60
100,600,"M",23
340,500,"F",24
100,1,"F",27
0,300,"M",60
900,0.100000001490116,"M",29
250,120,"F",21
50,45,"F",31
10,10,"F",40
140,1100,"F",22
100,1,"F",30
60,80,"F",85
7,200,"M",25
30,300,"F",26
8,12,"M",51
200,0,"F",55
37,46,"M",60
0,300,"F",30
50,200,"F",40
200,1,"F",50
15,30,"M",45
100,200,"M",39
200,0,"F",55
40,50,"M",40
NA,NA,"F",NA
40,150,"M",38
4,50,"M",26
0,100,"F",40
150,1,"M",70
20,2,"M",32
0,120,"M",49
3,340,"M",34
18,200,"M",32
0,1,"M",36
0,0.100000001490116,"F",30
20,50,"F",20
67,150,"M",32
0,100,"F",40
NA,NA,"M",NA
10,150,"F",30
400,150,"M",48
7,200,"M",35
NA,NA,"M",NA
400,1,"F",55
2000,2000,"F",38
0,100,"M",45
10,300,"M",45
200,33,"F",35
20,0,"F",32
NA,NA,"F",NA
340,0.100000001490116,"F",20
NA,NA,"F",NA
NA,0.100000001490116,"F",38
20,150,"F",36
0,100,"M",56
0,0,"M",32
80,200,"M",55
0,200,"F",32
0,10,"M",36
20,200,"M",36
6,50,"M",37
50,1000,"M",45
30,400,"M",20
200,300,"M",60
20,12,"F",30
0,50,"M",27
NA,NA,"M",NA
0,100,"M",27
0,200,"M",39
NA,NA,"M",NA
0,70,"F",30
3,0,"M",32
0,100,"M",43
31,150,"M",57
0,0,"F",29
